,audio_path,duration,speaker_id
0,8419/286676/8419-286676-0001.flac,254320,8419
1,8419/286676/8419-286676-0028.flac,79440,8419
2,8419/286676/8419-286676-0032.flac,252880,8419
3,8419/286676/8419-286676-0029.flac,89120,8419
4,8419/286676/8419-286676-0002.flac,216800,8419
5,8419/286676/8419-286676-0016.flac,236000,8419
6,8419/286676/8419-286676-0024.flac,241200,8419
7,8419/286676/8419-286676-0023.flac,248480,8419
8,8419/286676/8419-286676-0018.flac,231920,8419
9,8419/286676/8419-286676-0021.flac,257200,8419
10,8419/286676/8419-286676-0011.flac,250880,8419
11,8419/286676/8419-286676-0027.flac,184960,8419
12,8419/286676/8419-286676-0004.flac,209200,8419
13,8419/286676/8419-286676-0017.flac,239200,8419
14,8419/286676/8419-286676-0010.flac,194160,8419
15,8419/286676/8419-286676-0030.flac,229680,8419
16,8419/286676/8419-286676-0026.flac,166880,8419
17,8419/286676/8419-286676-0019.flac,126960,8419
18,8419/286676/8419-286676-0022.flac,246160,8419
19,8419/286676/8419-286676-0009.flac,179440,8419
20,8419/286676/8419-286676-0014.flac,205760,8419
21,8419/286676/8419-286676-0015.flac,208000,8419
22,8419/286676/8419-286676-0008.flac,238000,8419
23,8419/286676/8419-286676-0025.flac,228080,8419
24,8419/286676/8419-286676-0031.flac,46560,8419
25,8419/286676/8419-286676-0005.flac,227440,8419
26,8419/286676/8419-286676-0020.flac,223920,8419
27,8419/286676/8419-286676-0012.flac,183280,8419
28,8419/286676/8419-286676-0000.flac,238160,8419
29,8419/286676/8419-286676-0007.flac,252480,8419
30,8419/286676/8419-286676-0003.flac,240480,8419
31,8419/286676/8419-286676-0033.flac,105280,8419
32,8419/286676/8419-286676-0006.flac,250240,8419
33,8419/286676/8419-286676-0013.flac,245280,8419
34,8419/293469/8419-293469-0015.flac,87280,8419
35,8419/293469/8419-293469-0025.flac,239600,8419
36,8419/293469/8419-293469-0005.flac,218880,8419
37,8419/293469/8419-293469-0019.flac,239280,8419
38,8419/293469/8419-293469-0016.flac,224000,8419
